GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
job-management-service,com.greencommute.jobmanagementservice.dto.response,JobResponse,0,3,0,0,0,1,0,1,0,1
job-management-service,com.greencommute.jobmanagementservice.dto.response,LiteJobResponse,0,3,0,0,0,1,0,1,0,1
job-management-service,com.greencommute.jobmanagementservice.service.details,JobService,0,33,0,0,0,11,0,3,0,3
job-management-service,com.greencommute.jobmanagementservice.service.details,UserJobMappingService,0,75,0,2,0,21,0,6,0,5
job-management-service,com.greencommute.jobmanagementservice.persistence.details,UserJobMappingRepository,0,95,0,0,0,26,0,7,0,7
job-management-service,com.greencommute.jobmanagementservice.persistence.details,JobResponseMapper,0,108,0,0,0,23,0,4,0,4
job-management-service,com.greencommute.jobmanagementservice.persistence.details,JobRepository,1,114,3,3,0,26,3,5,0,5
job-management-service,com.greencommute.jobmanagementservice.persistence.details,LiteJobResponseMapper,0,40,0,0,0,11,0,2,0,2
job-management-service,com.greencommute.jobmanagementservice.controller,UserJobMappingController,0,46,0,0,0,12,0,4,0,4
job-management-service,com.greencommute.jobmanagementservice.controller,JobController,0,52,0,0,0,18,0,4,0,4
job-management-service,com.greencommute.jobmanagementservice.exception,JobNotFoundException,0,4,0,0,0,2,0,1,0,1
job-management-service,com.greencommute.jobmanagementservice.exception,JobManagementServiceException,0,4,0,0,0,2,0,1,0,1
job-management-service,com.greencommute.jobmanagementservice.model,AbstractErrorResponse,0,3,0,0,0,1,0,1,0,1
job-management-service,com.greencommute.jobmanagementservice.model,ExperienceLevel,0,44,0,0,0,5,0,1,0,1
job-management-service,com.greencommute.jobmanagementservice.model,Skills,0,94,0,0,0,10,0,1,0,1
job-management-service,com.greencommute.jobmanagementservice.model,JobType,0,44,0,0,0,5,0,1,0,1
job-management-service,com.greencommute.jobmanagementservice.model,AbstractGetJobsQueryParams,13,50,7,3,0,8,5,5,0,5
job-management-service,com.greencommute.jobmanagementservice,JobManagementServiceApplication,45,3,0,0,20,1,3,1,3,1
job-management-service,com.greencommute.jobmanagementservice,ExceptionHandlerManager,0,104,0,0,0,36,0,6,0,6
